id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
20770,2IG4,small_airport,Ed-Air Airport,38.851782,-87.49987,426.0,,US,US-IN,Oaktown,no,KI20,OTN,I20,http://www.edairinc.com/index.html,https://en.wikipedia.org/wiki/Ed-Air_Airport,"2IG4, KOTN, OTN, Emison, Green, Vincennes Executive Inn"
9485,2K5,small_airport,Telida Airport,63.393901824951,-153.26899719238,650.0,,US,US-AK,Telida,no,2K5,TLF,2K5,,https://en.wikipedia.org/wiki/Telida_Airport,
9776,2TE0,small_airport,Eagle Air Park,28.982200622559,-95.579696655273,15.0,,US,US-TX,Brazoria,no,2TE0,BZT,2TE0,,,Hinkles Ferry
9902,2Z1,seaplane_base,Entrance Island Seaplane Base,57.412201,-133.43848,0.0,,US,US-AK,Entrance Island,no,,HBH,,,,2Z1
9906,2Z6,seaplane_base,False Island Seaplane Base,57.5321998596,-135.212997437,,,US,US-AK,False Island,no,2Z6,FAK,2Z6,,,
10309,38WA,small_airport,Blakely Island Airport,48.579162,-122.823844,66.0,,US,US-WA,Blakely Island,yes,38WA,BYW,38WA,,,
10366,3AK5,small_airport,Drift River Airport,60.5889015198,-152.162002563,30.0,,US,US-AK,Kenai,no,3AK5,DRF,3AK5,,,
10532,3IS8,small_airport,Rinkenberger Restricted Landing Area,41.2308998108,-89.61569976810001,808.0,,US,US-IL,Bradford,no,3IS8,BDF,3IS8,,,
10784,3T4,small_airport,Tetlin Airport,63.124618,-142.518005,1663.0,,US,US-AK,Tetlin,no,3T4,TEH,3T4,,,
10856,3VS,small_airport,Roy Otten Memorial Airfield,38.427799224854,-92.875198364258,1030.0,,US,US-MO,Versailles,no,3VS,VRS,3VS,,,
10905,3Z8,seaplane_base,Golden Horn Lodge Seaplane Base,59.7470016479,-158.875,91.0,,US,US-AK,Golden Horn Lodge,no,3Z8,GDH,3Z8,,,
11318,4A2,small_airport,Atmautluak Airport,60.866699,-162.272996,17.0,,US,US-AK,Atmautluak,yes,,ATT,4A2,,https://en.wikipedia.org/wiki/Atmautluak_Airport,08AK
11320,4AK,small_airport,Livengood Camp Airport,65.467,-148.6534,425.0,,US,US-AK,Livengood,no,4AK,LIV,4AK,,,
11485,4K0,small_airport,Pedro Bay Airport,59.796925,-154.129994,45.0,,US,US-AK,Pedro Bay,yes,4K0,PDB,4K0,,https://en.wikipedia.org/wiki/Pedro_Bay_Airport,
11487,4K5,small_airport,Ouzinkie Airport,57.942094,-152.464314,55.0,,US,US-AK,Ouzinkie,yes,,KOZ,4K5,,https://en.wikipedia.org/wiki/Ouzinkie_Airport,
11488,4KA,small_airport,Tununak Airport,60.569638,-165.246649,14.0,,US,US-AK,Tununak,yes,POKA,TNK,4KA,,https://en.wikipedia.org/wiki/Tununak_Airport,
11820,4Z7,seaplane_base,Hyder Seaplane Base,55.903324,-130.009975,,,US,US-AK,Hyder,yes,,WHD,4Z7,,https://en.wikipedia.org/wiki/Hyder_Seaplane_Base,
11900,51Z,small_airport,Minto Al Wright Airport,65.147991,-149.368658,460.0,,US,US-AK,Minto,yes,,MNT,51Z,,https://en.wikipedia.org/wiki/Minto_Airport,
12114,57A,seaplane_base,Tokeen Seaplane Base,55.9370994568,-133.32699585,,,US,US-AK,Tokeen,no,57A,TKI,57A,,https://en.wikipedia.org/wiki/Tokeen_Seaplane_Base,
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66.0,,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,,https://en.wikipedia.org/wiki/Aleknagik_Airport,
12429,5KE,seaplane_base,Ketchikan Harbor Seaplane Base,55.349899,-131.677002,,,US,US-AK,Ketchikan,yes,,WFB,5KE,,https://en.wikipedia.org/wiki/Ketchikan_Harbor_Seaplane_Base,
12518,5MS1,small_airport,Rollang Field,32.953543,-90.845144,106.0,,US,US-MS,Rolling Fork,no,5MS1,RFK,5MS1,,,
12560,5NK,small_airport,Naknek Airport,58.735633,-157.02216,70.0,,US,US-AK,Naknek,no,,NNK,5NK,,https://en.wikipedia.org/wiki/Naknek_Airport,
12764,5Z9,seaplane_base,Lake Brooks Seaplane Base,58.554798,-155.776993,36.0,,US,US-AK,Katmai National Park,yes,5Z9,BKF,5Z9,,https://en.wikipedia.org/wiki/Lake_Brooks_Seaplane_Base,
12995,65LA,small_airport,Southern Seaplane Airport,29.866078,-90.021608,,,US,US-LA,Belle Chasse,no,65LA,BCS,65LA,http://southernseaplane.com/cms/?page_id=460,https://en.wikipedia.org/wiki/Southern_Seaplane_Airport,
13202,6B6,small_airport,Minute Man Air Field,42.460298,-71.519031,268.0,,US,US-MA,Stow,no,K6B6,MMN,6B6,https://minutemanairfield.com/,https://en.wikipedia.org/wiki/Minute_Man_Air_Field,
13208,6CA3,heliport,Catalina Air-Sea Terminal Heliport,33.7491989136,-118.275001526,5.0,,US,US-CA,San Pedro,no,6CA3,SPQ,6CA3,,,
13405,6N5,heliport,East 34th Street Heliport,40.742372,-73.972074,10.0,,US,US-NY,New York,yes,6N5,TSS,6N5,,https://en.wikipedia.org/wiki/East_34th_Street_Heliport,
13407,6N7,seaplane_base,New York Skyports Inc Seaplane Base,40.735061,-73.972814,,,US,US-NY,New York,yes,,NYS,6N7,,https://en.wikipedia.org/wiki/New_York_Skyports_Inc._Seaplane_Base,QNY
13485,6OK6,small_airport,Earl Henry Airport,36.7958984375,-97.3170013428,1054.0,,US,US-OK,Blackwell,no,6OK6,BWL,6OK6,,https://en.wikipedia.org/wiki/Earl_Henry_Airport,
13974,78K,seaplane_base,Yes Bay Lodge Seaplane Base,55.9163017273,-131.800994873,,,US,US-AK,Yes Bay,no,78K,WYB,78K,,,
13997,78WA,small_airport,Center Island Airport,48.490046,-122.831612,115.0,,US,US-WA,Center Island,yes,78WA,CWS,78WA,,https://en.wikipedia.org/wiki/Center_Island_Airport,
14173,7KA,small_airport,Tatitlek Airport,60.871449,-146.690297,62.0,,US,US-AK,Tatitlek,yes,PAKA,TEK,7KA,,https://en.wikipedia.org/wiki/Tatitlek_Airport,
14270,7NC2,small_airport,Pine Island Airport,36.252744,-75.785256,16.0,,US,US-NC,Corolla,no,7NC2,DUF,7NC2,,https://en.wikipedia.org/wiki/Pine_Island_Airport,
14453,7WA5,small_airport,Stuart Island Airpark,48.673379,-123.175439,10.0,,US,US-WA,Friday Harbor,yes,7WA5,SSW,7WA5,,,
14559,82CL,small_airport,Fort Bragg Airport,39.472445,-123.795319,71.0,,US,US-CA,Fort Bragg,no,82CL,FOB,82CL,,,
14620,83Q,seaplane_base,Port of Poulsbo Marina Moorage Seaplane Base,47.734001159668,-122.64700317383,0.0,,US,US-WA,Poulsbo,no,83Q,PUL,83Q,http://www.portofpoulsbo.com/seaplane-base/,,
14633,84CL,heliport,Century City Heliport,34.060798645,-118.417999268,473.0,,US,US-CA,Los Angeles,no,84CL,CCD,84CL,,,
14642,84K,seaplane_base,Meyers Chuck Seaplane Base,55.7396011353,-132.255004883,0.0,,US,US-AK,Meyers Chuck,no,84K,WMK,84K,,,
19113,89NY,small_airport,Maxson Airfield,44.312002,-75.90034,340.0,,US,US-NY,Alexandria Bay,no,89NY,AXB,89NY,https://web.archive.org/web/20161108041600/http://www.maxsonairfield.com/,https://en.wikipedia.org/wiki/Maxson_Airfield,89N
15267,8XS8,small_airport,Reese Airpark,33.590301513672,-102.03700256348,3338.0,,US,US-TX,Lubbock,no,8XS8,REE,8XS8,http://reesetechnologycenter.com/index.php/facilities/airfield-pad-site-development,https://en.wikipedia.org/wiki/Reese_Air_Force_Base,
15300,90WA,small_airport,Waldron Airstrip,48.71141,-123.018208,140.0,,US,US-WA,Eastsound,yes,90WA,WDN,90WA,,,Waldronaire
15514,96Z,seaplane_base,Whale Pass Seaplane Float Harbor Facility,56.116299,-133.121994,,,US,US-AK,Whale Pass,yes,,WWP,96Z,,https://en.wikipedia.org/wiki/North_Whale_Seaplane_Base,"North Whale SPB, North Whale Pass"
15640,9A3,small_airport,Chuathbaluk Airport,61.579102,-159.216003,244.0,,US,US-AK,Chuathbaluk,yes,PACH,CHU,9A3,,https://en.wikipedia.org/wiki/Chuathbaluk_Airport,
15641,9A8,small_airport,Ugashik Airport,57.523476,-157.396344,25.0,,US,US-AK,Ugashik,no,,UGS,9A8,,https://en.wikipedia.org/wiki/Ugashik_Airport,
15663,9CA3,heliport,Recreation and Conference Center Heliport,34.020472,-117.927396,701.0,,US,US-CA,City of Industry,no,9CA3,JID,9CA3,,,
15836,9N2,seaplane_base,Philadelphia Seaplane Base,39.859001159668,-75.299598693848,0.0,,US,US-PA,Essington,no,9N2,PSQ,9N2,http://www.phillyseaplanebase.com/,https://en.wikipedia.org/wiki/Philadelphia_Seaplane_Base,Chandler Field
16069,9Z8,small_airport,Levelock Airport,59.12606,-156.860906,39.0,,US,US-AK,Levelock,yes,,KLL,9Z8,,https://en.wikipedia.org/wiki/Levelock_Airport,
16074,A23,seaplane_base,Saginaw Seaplane Base,56.8862991333,-134.158004761,0.0,,US,US-AK,Saginaw Bay,no,A23,SGW,A23,,https://en.wikipedia.org/wiki/Saginaw_Seaplane_Base,
16082,A61,small_airport,Tuntutuliak Airport,60.351243,-162.654476,16.0,,US,US-AK,Tuntutuliak,yes,A61,WTL,A61,,https://en.wikipedia.org/wiki/Tuntutuliak_Airport,
16083,A63,small_airport,Twin Hills Airport,59.074713,-160.274992,82.0,,US,US-AK,Twin Hills,yes,A63,TWA,A63,,https://en.wikipedia.org/wiki/Twin_Hills_Airport,AK63
16089,A79,small_airport,Chignik Lake Airport,56.2550010681,-158.774993896,50.0,,US,US-AK,Chignik Lake,yes,A79,KCQ,A79,,https://en.wikipedia.org/wiki/Chignik_Lake_Airport,
16108,AK13,small_airport,Chena Hot Springs Airport,65.0518035889,-146.04699707,1195.0,,US,US-AK,Chena Hot Springs,no,AK13,CEX,AK13,,,
16120,AK26,small_airport,Solomon State Field,64.5605,-164.4457,25.0,,US,US-AK,Solomon,no,AK26,SOL,AK26,,,
16125,AK33,small_airport,Herendeen Bay Airport,55.801399231,-160.899002075,20.0,,US,US-AK,Herendeen Bay,no,AK33,HED,AK33,,,
16141,AK49,small_airport,Taylor Airport,65.6792984009,-164.798995972,440.0,,US,US-AK,Taylor,no,AK49,TWE,AK49,,,
16149,AK56,seaplane_base,Tikchik Lodge Seaplane Base,59.9631996155,-158.477005005,304.0,,US,US-AK,Tikchik,no,AK56,KTH,AK56,,,
16155,AK62,seaplane_base,Naukati Bay Seaplane Base,55.849602,-133.227994,,,US,US-AK,Tuxekan Island,yes,AK62,NKI,AK62,,https://en.wikipedia.org/wiki/Naukati_Bay_Seaplane_Base,"62A, Nichin Cove Seaplane Base, WNC"
16165,AK71,small_airport,Point Lonely Short Range Radar Site Airfield,70.911118,-153.237766,17.0,,US,US-AK,Point Lonely,no,PALN,LNI,AK71,,https://en.wikipedia.org/wiki/Point_Lonely_Short_Range_Radar_Site,Lonely Air Station
16169,AK75,small_airport,Candle 2 Airport,65.907699585,-161.925994873,15.0,,US,US-AK,Candle,no,AK75,CDL,AK75,,,
16174,AK81,seaplane_base,Amook Bay Seaplane Base,57.4715003967,-153.815002441,,,US,US-AK,Amook Bay,yes,AK81,AOS,AK81,,https://en.wikipedia.org/wiki/Amook_Bay_Seaplane_Base,
16188,AK97,small_airport,Boswell Bay Airport,60.4230995178,-146.145996094,230.0,,US,US-AK,Boswell Bay,no,AK97,BSW,AK97,,https://en.wikipedia.org/wiki/Boswell_Bay_Airport,
16289,ALZ,seaplane_base,Alitak Seaplane Base,56.897294,-154.249692,,,US,US-AK,Lazy Bay,yes,,ALZ,ALZ,,https://en.wikipedia.org/wiki/Alitak_Seaplane_Base,
16294,AQY,small_airport,Girdwood-Alyeska Airport,60.968774,-149.119792,150.0,,US,US-AK,Girdwood,no,,AQY,AQY,,https://en.wikipedia.org/wiki/Girdwood_Airport,
16403,AZ15,heliport,Lava Falls Heliport,36.1916007996,-113.092002869,1720.0,,US,US-AZ,Supai Village,no,AZ15,HAE,AZ15,,,Havasupai Airport
16495,BDH,small_airport,Willmar Municipal Airport John L Rice Field (2006),45.117552,-95.132259,1126.0,,US,US-MN,Willmar,no,KBDH,ILL,BDH,http://www.willmarmn.gov/residents/travel-transportation/airport,https://en.wikipedia.org/wiki/Willmar_Municipal_Airport,
16502,BNF,seaplane_base,Baranof Warm Springs Float and Seaplane Base,57.088799,-134.833146,0.0,,US,US-AK,Baranof,no,,BNF,BNF,,,"Warm Spring Bay Seaplane Base  Baranof Warm Springs, Baranoff"
16504,BOK,small_airport,Brookings Airport,42.0746,-124.290001,459.0,,US,US-OR,Brookings,no,KBOK,BOK,BOK,,https://en.wikipedia.org/wiki/Brookings_Airport,
16505,BQV,seaplane_base,Bartlett Cove Seaplane Base,58.4552,-135.884995,,,US,US-AK,Gustavus,no,BQV,BQV,BQV,,https://fr.wikipedia.org/wiki/Base_d%27hydravions_de_Bartlett_Cove,
16506,BYA,small_airport,Boundary Airport,64.077678,-141.122088,2940.0,,US,US-AK,Boundary,no,BYA,BYA,BYA,,,
20291,CA92,small_airport,Paradise Skypark Airport,39.71029,-121.616528,1300.0,,US,US-CA,Paradise,no,CA92,PYS,CA92,http://paradiseairport.com/index.php,https://en.wikipedia.org/wiki/Paradise_Skypark,Formerly L24
16708,CDK,small_airport,George T Lewis Airport,29.134095,-83.050783,11.0,,US,US-FL,Cedar Key,no,KCDK,CDK,CDK,,https://en.wikipedia.org/wiki/George_T._Lewis_Airport,
16712,CGA,seaplane_base,Craig Seaplane Base,55.478802,-133.147995,,,US,US-AK,Craig,yes,CGA,CGA,CGA,,https://en.wikipedia.org/wiki/Craig_Seaplane_Base,
16713,CHP,small_airport,Circle Hot Springs Airport,65.485496521,-144.610992432,956.0,,US,US-AK,Circle Hot Springs,no,CHP,CHP,CHP,,https://en.wikipedia.org/wiki/Circle_Hot_Springs_Airport,
312506,CIV,seaplane_base,Chomley Seaplane Base,55.217,-132.21,0.0,,US,US-AK,Chomley,no,,CIV,,,,
16716,CJX,small_airport,Crooked Creek Airport,61.870315,-158.137636,178.0,,US,US-AK,Crooked Creek,yes,PACJ,CKD,CJX,,https://en.wikipedia.org/wiki/Crooked_Creek_Airport,
312535,CKR,small_airport,Crane Island Airstrip,48.5978,-122.9979,108.0,,US,US-WA,Crane Island,no,,CKR,,,,
16717,CKU,small_airport,Cordova Municipal Airport,60.5438995361,-145.727005005,12.0,,US,US-AK,Cordova,no,CKU,CKU,CKU,,https://en.wikipedia.org/wiki/Cordova_Municipal_Airport,
16718,CKX,small_airport,Chicken Airport,64.066495,-141.951342,1640.0,,US,US-AK,Chicken,yes,CKX,CKX,CKX,,https://en.wikipedia.org/wiki/Chicken_Airport,
17054,CVH,small_airport,Hollister Municipal Airport,36.8932991028,-121.410003662,230.0,,US,US-CA,Hollister,no,KCVH,HLI,CVH,http://www.hollister.ca.gov/site/html/gov/office/airport.asp,https://en.wikipedia.org/wiki/Hollister_Municipal_Airport,3O7
17055,CXC,small_airport,Chitina Airport,61.582901,-144.427002,556.0,,US,US-AK,Chitina,no,CXC,CXC,CXC,,https://en.wikipedia.org/wiki/Chitina_Airport,
17057,CYM,seaplane_base,Chatham Seaplane Base,57.5149,-134.945999,,,US,US-AK,Chatham,yes,05AA,CYM,05AA,,https://en.wikipedia.org/wiki/Chatham_Seaplane_Base,CYM
17059,CZK,small_airport,Cascade Locks State Airport,45.676599,-121.878879,151.0,,US,US-OR,Cascade Locks,no,KCZK,CZK,CZK,https://web.archive.org/web/20160720160659/http://www.oregon.gov/aviation/pages/warning.aspx,https://en.wikipedia.org/wiki/Cascade_Locks_State_Airport,
17060,CZN,small_airport,Chisana Airport,62.0712013245,-142.04800415,3318.0,,US,US-AK,Chisana,yes,CZN,CZN,CZN,,https://en.wikipedia.org/wiki/Chisana_Airport,Chisana Field
17061,CZO,small_airport,Chistochina Airport,62.5634994507,-144.669006348,1850.0,,US,US-AK,Chistochina,no,CZO,CZO,CZO,,,
19598,D38,small_airport,Canandaigua Airport,42.908902,-77.325226,814.0,,US,US-NY,Ontario County IDA,no,KIUA,IUA,IUA,https://flycanandaigua.com/,https://en.wikipedia.org/wiki/Canandaigua_Airport,Canandaigua Airport
17080,D66,small_airport,Delta Junction Airport,64.049861,-145.722656,1150.0,,US,US-AK,Delta Junction,yes,D66,DJN,D66,,https://en.wikipedia.org/wiki/Delta_Junction_Airport,
17113,DCK,small_airport,Dahl Creek Airport,66.943298,-156.904999,260.0,,US,US-AK,Dahl Creek,no,PODC,DCK,DCK,,https://en.wikipedia.org/wiki/Dahl_Creek_Airport,
300321,DHB,seaplane_base,Deer Harbor SPB,48.616667,-123.002778,0.0,,US,US-WA,Deer Harbor,yes,88WA,DHB,88WA,,https://en.wikipedia.org/wiki/Deer_Harbor_Sea_Plane_Base,42W
17152,DM2,heliport,Diomede Heliport,65.758367,-168.953676,20.0,,US,US-AK,Diomede,yes,PPDM,DIO,DM2,,,DIO
317873,EDA,seaplane_base,Edna Bay Seaplane Base,55.949653,-133.661012,,,US,US-AK,Edna Bay,yes,,EDA,,,,
17184,EXI,seaplane_base,Excursion Inlet Seaplane Base,58.420502,-135.449005,0.0,,US,US-AK,Excursion Inlet,yes,,EXI,EXI,,https://en.wikipedia.org/wiki/Excursion_Inlet_Seaplane_Base,
17188,F23,small_airport,Ranger Municipal Airport,32.4525985718,-98.682800293,1470.0,,US,US-TX,Ranger,no,F23,RGR,F23,,,
17467,FLT,small_airport,Flat Airport,62.4525985718,-157.988998413,309.0,,US,US-AK,Flat,no,FLT,FLT,FLT,,,
17573,GAB,small_airport,Gabbs Airport,38.923173,-117.9572,4700.0,,US,US-NV,Gabbs,no,KGAB,GAB,GAB,,https://en.wikipedia.org/wiki/Gabbs_Airport,
17594,GFD,small_airport,Pope Field,39.790715,-85.735019,895.0,,US,US-IN,Greenfield,no,KGFD,GFD,GFD,,https://en.wikipedia.org/wiki/Pope_Field_(Indiana),
17597,GNU,small_airport,Goodnews Airport,59.117561,-161.575241,15.0,,US,US-AK,Goodnews,yes,GNU,GNU,GNU,,https://en.wikipedia.org/wiki/Goodnews_Airport,
17599,GSZ,small_airport,Granite Mountain Air Station,65.40209961,-161.2810059,1313.0,,US,US-AK,Granite Mountain,no,PAGZ,GMT,GSZ,,https://en.wikipedia.org/wiki/Granite_Mountain_Air_Station,
17600,GVE,small_airport,Gordonsville Municipal Airport,38.155998,-78.165802,454.0,,US,US-VA,Gordonsville,no,KGVE,GVE,GVE,http://www.townofgordonsville.org/index.aspx?nid=125,,
17620,HEY,heliport,Hanchey Army (Fort Rucker) Heliport,31.34600067,-85.65429688,317.0,,US,US-AL,Fort Rucker Ozark,no,KHEY,HEY,HEY,,https://en.wikipedia.org/wiki/Hanchey_Army_Heliport,
17622,HGT,heliport,Tusi (Hunter Liggett) Army Heliport,35.9935,-121.237,1017.0,,US,US-CA,Jolon,no,KHGT,HGT,HGT,,,
17623,HI01,small_airport,Princeville Airport,22.209313,-159.44515,344.0,OC,US,US-HI,Hanalei,no,HI01,HPV,HI01,,https://en.wikipedia.org/wiki/Princeville_Airport,
17628,HI07,heliport,Waikoloa Heliport,19.920546,-155.860628,119.0,OC,US,US-HI,Waikoloa Village,no,HI07,WKL,HI07,,,
313211,HKB,small_airport,Healy Lake Airport,63.9958,-144.6926,1180.0,,US,US-AK,Healy Lake,yes,,HKB,,,https://en.wikipedia.org/wiki/Healy_Lake_Airport,
17657,HWI,seaplane_base,Hawk Inlet Seaplane Base,58.127399,-134.755997,,,US,US-AK,Hawk Inlet,no,HWI,HWI,HWI,,,
17659,HYL,seaplane_base,Hollis Clark Bay Seaplane Base,55.481529,-132.646008,,,US,US-AK,Hollis,yes,,HYL,HYL,,https://en.wikipedia.org/wiki/Hollis_Seaplane_Base,
18253,JLA,small_airport,Quartz Creek Airport,60.484235,-149.722909,450.0,,US,US-AK,Cooper Landing,no,,JLA,JLA,,,
18255,JPN,heliport,Pentagon Army Heliport,38.874908,-77.056682,40.0,,US,US-VA,Washington DC,no,KJPN,JPN,JPN,,https://en.wikipedia.org/wiki/Pentagon_Army_Heliport,Arlington
18256,JRA,heliport,West 30th Street Heliport,40.755107,-74.006896,7.0,,US,US-NY,New York,yes,KJRA,JRA,JRA,,https://en.wikipedia.org/wiki/West_30th_Street_Heliport,
18257,JRB,heliport,Downtown Manhattan Heliport,40.700711,-74.008573,7.0,,US,US-NY,New York,no,KJRB,JRB,JRB,http://www.downtownmanhattanheliport.com/,https://en.wikipedia.org/wiki/Downtown_Manhattan_Heliport,Downtown-Manhattan/Wall Street Heliport
18302,K00C,small_airport,Animas Air Park,37.203201,-107.869003,6684.0,,US,US-CO,Durango,no,K00C,AMK,00C,https://www.codot.gov/programs/colorado-airports-map/00C,https://en.wikipedia.org/wiki/Animas_Air_Park,
18303,K00F,small_airport,Broadus Airport,45.470462,-105.457145,3280.0,,US,US-MT,Broadus,no,K00F,BDX,00F,,https://en.wikipedia.org/wiki/Broadus_Airport,
18321,K05U,small_airport,Eureka Airport,39.6041984558,-116.004997253,5954.0,,US,US-NV,Eureka,no,05U,EUE,05U,,https://en.wikipedia.org/wiki/Eureka_Airport_(Nevada),Booth Bailey Field
18326,K06U,small_airport,Jackpot Airport/Hayden Field,41.97600173949999,-114.657997131,5213.0,,US,US-NV,Jackpot,no,06U,KPT,06U,,https://en.wikipedia.org/wiki/Jackpot_Airport,
20238,K07,small_airport,Rolla Downtown Airport,37.935699,-91.813499,987.0,,US,US-MO,Rolla,no,K07,RLA,K07,,https://en.wikipedia.org/wiki/Rolla_Downtown_Airport,
18351,K0B8,small_airport,Elizabeth Field,41.25130081179999,-72.0316009521,9.0,,US,US-NY,Fishers Island,no,0B8,FID,0B8,https://www.dot.ny.gov/divisions/operating/opdm/aviation/repository/air_dir2/Elizabeth-revised.pdf,https://en.wikipedia.org/wiki/Elizabeth_Field,
18371,K0K7,small_airport,Humboldt Municipal Airport,42.734831,-94.245315,1093.0,,US,US-IA,Humboldt,no,K0K7,HUD,0K7,http://www.iowadot.gov/aviation/airports/AirportIntermediate.aspx?FAACode=0K7,https://en.wikipedia.org/wiki/Humboldt_Municipal_Airport_(Iowa),
18393,K0S9,small_airport,Jefferson County International Airport,48.0537986755,-122.810997009,108.0,,US,US-WA,Port Townsend,no,K0S9,TWD,0S9,http://www.portofpt.com/airport.htm,https://en.wikipedia.org/wiki/Jefferson_County_International_Airport,
18397,K0V7,small_airport,Kayenta Airport,36.716444,-110.228444,5688.0,,US,US-AZ,Kayenta,no,,MVM,0V7,,https://en.wikipedia.org/wiki/Kayenta_Airport,
18451,K1B1,small_airport,Columbia County Airport,42.2913017273,-73.7102966309,198.0,,US,US-NY,Hudson,no,1B1,HCC,1B1,,https://en.wikipedia.org/wiki/Columbia_County_Airport,
18462,K1F0,small_airport,Ardmore Downtown Executive Airport,34.1469993591,-97.1227035522,844.0,,US,US-OK,Ardmore,no,,AHD,1F0,,https://en.wikipedia.org/wiki/Ardmore_Downtown_Executive_Airport,
18468,K1G4,small_airport,Grand Canyon West Airport,35.985787,-113.817072,4825.0,,US,US-AZ,Peach Springs,no,K1G4,GCW,1G4,,https://en.wikipedia.org/wiki/Grand_Canyon_West_Airport,
18501,K1O2,small_airport,Lampson Field,38.9906005859,-122.901000977,1379.0,,US,US-CA,Lakeport,no,1O2,CKE,1O2,http://lakecountyairmen.mymcn.org/index.html,https://en.wikipedia.org/wiki/Lampson_Field,
18504,K1O5,small_airport,Montague-Yreka Rohrer Field,41.7304000854,-122.54599762,2527.0,,US,US-CA,Montague,no,K1O5,ROF,1O5,http://www.ci.montague.ca.us/rohrerfield.html,https://en.wikipedia.org/wiki/Montague_Airport_(California),Mount Shasta
18522,K1V6,small_airport,Fremont County Airport,38.429739,-105.108562,5439.0,,US,US-CO,Penrose,no,K1V6,CNE,1V6,http://www.fremontco.com/airport/,,
18531,K21,seaplane_base,Rouses Point Seaplane Base,44.991699,-73.363073,95.0,,US,US-NY,Rouses Point,no,,RSX,,https://www.dot.ny.gov/divisions/operating/opdm/aviation/repository/air_dir2/Rouses-Point-revised.pdf,https://en.wikipedia.org/wiki/Rouses_Point_Seaplane_Base,"K21, NY47"
